date,open,high,low,close,volume
2016-03-28,10.51949951171875,10.56449951171875,10.273399658203125,10.2325,1982
2016-04-04,10.34449951171875,10.663399658203126,10.27550048828125,10.6475,13147
2016-04-11,10.685,11.241600341796875,10.681600341796875,11.1975,64439
2016-04-18,11.185,12.009300537109375,11.163399658203126,11.685,120277
2016-04-25,11.53,12.008399658203125,11.4193994140625,11.9825,31631
2016-05-02,11.9825,11.9825,11.66969970703125,11.8975,15145
2016-05-09,11.8222998046875,11.894000244140624,11.53449951171875,11.6675,13511
2016-05-16,11.81449951171875,11.85,10.985,11.1125,30765
2016-05-23,11.08,11.085,10.8356005859375,10.875,126464
2016-05-30,10.875,11.05,10.735999755859375,11.0325,1881065
2016-06-06,11.16949951171875,11.8406005859375,10.94,11.7675,26992
2016-06-13,12.0,12.31,11.9,11.8825,61958
2016-06-20,11.68,12.82,11.341600341796875,12.7575,154797
2016-06-27,13.2,14.34,12.915,14.375,235158
2016-07-04,15.035,15.435,14.6,15.005,413652
2016-07-11,15.42,15.46,14.73,14.8875,230196
2016-07-18,14.69,14.88,14.345,14.715,229952
2016-07-25,14.555,15.18,14.45,14.9525,293869
2016-08-01,15.15,15.36,14.795,14.7825,83084
2016-08-08,14.77,15.28488037109375,14.74010009765625,15.2475,135278
2016-08-15,15.0,15.1925,14.43300048828125,14.5075,139627
2016-08-22,14.15988037109375,14.1975,13.715400390625,14.005,173054
2016-08-29,14.005,14.18550048828125,13.756650390625,14.1425,193547
2016-09-05,14.305,14.62719970703125,14.166650390625,14.335,57760
2016-09-12,13.94,14.17280029296875,13.846650390625,14.0575,44475
2016-09-19,14.335,15.015,14.335,14.9275,55736
2016-09-26,14.74,14.82280029296875,14.30780029296875,14.5675,40164
2016-10-03,14.49,14.653349609375,13.298900146484375,13.62,267185
2016-10-10,13.98,14.146650390625,13.89,13.9725,117104
2016-10-17,13.995,14.17,13.951500244140625,14.03,129497
2016-10-24,14.095,14.328349609375,14.065,14.2275,262612
2016-10-31,14.325,14.853499755859374,14.21,14.41,70724
2016-11-07,14.34,14.91,13.565,13.62,1616240
2016-11-14,13.55,13.625,12.975,13.1225,763253
2016-11-21,13.23,13.255,11.55,12.9475,59098
2016-11-28,13.12,13.13,11.55,12.89,107354
2016-12-05,12.745,13.321500244140625,12.721500244140625,13.165,239574
2016-12-12,12.99,13.245,12.56,12.685,312739
