date,open,high,low,close,volume
2024-03-11,23.375,23.540000915527344,23.024999618530273,23.1299991607666,27116
2024-03-12,23.270000457763672,23.309999465942383,22.969999313354492,23.032499313354492,21969
2024-03-13,23.1299991607666,23.299999237060547,22.975000381469727,23.3125,11610
2024-03-14,23.325000762939453,23.510000228881836,23.200000762939453,23.3125,12777
2024-03-15,23.2549991607666,23.309999465942383,23.045000076293945,23.239999771118164,14074
2024-03-18,23.21500015258789,23.389999389648438,22.985000610351562,23.2549991607666,18246
2024-03-19,23.309999465942383,23.354999542236328,23.075000762939453,23.3799991607666,14186
2024-03-20,23.434999465942383,23.549999237060547,23.21500015258789,23.420000076293945,8245
2024-03-21,23.829999923706055,23.940000534057617,23.55699920654297,23.940000534057617,12992
2024-03-22,24.0,24.110000610351562,23.774999618530273,23.954999923706055,26833
2024-03-25,24.110000610351562,24.18000030517578,23.950000762939453,24.167499542236328,18164
2024-03-26,24.264999389648438,24.475000381469727,24.165000915527344,24.475000381469727,13520
2024-03-27,24.399999618530273,24.78499984741211,24.299999237060547,24.417499542236328,9427
2024-03-28,24.415000915527344,24.469999313354492,24.217500686645508,24.325000762939453,16101
2024-04-02,24.469999313354492,24.469999313354492,24.113500595092773,24.157499313354492,18110
2024-04-03,24.03499984741211,24.389999389648438,23.90999984741211,24.389999389648438,10271
2024-04-04,24.219999313354492,24.34079933166504,24.0,24.239999771118164,6658
2024-04-05,24.020000457763672,24.104999542236328,23.780000686645508,24.127500534057617,11841
2024-04-08,24.614999771118164,24.614999771118164,23.915000915527344,24.262500762939453,14129
2024-04-09,24.405000686645508,24.415000915527344,23.316499710083008,23.579999923706055,11419
2024-04-10,23.5049991607666,23.709999084472656,23.075000762939453,23.565000534057617,11129
2024-04-11,23.65999984741211,23.674999237060547,23.28499984741211,23.625,10331
2024-04-12,23.78499984741211,23.969999313354492,23.69499969482422,23.844999313354492,17562
2024-04-15,24.165000915527344,24.165000915527344,23.709999084472656,23.795000076293945,19411
2024-04-16,23.53499984741211,23.637800216674805,23.3799991607666,23.59749984741211,14528
2024-04-17,23.635000228881836,23.7549991607666,23.389999389648438,23.469999313354492,2614
2024-04-18,23.579999923706055,23.600000381469727,23.267000198364258,23.447500228881836,9426
2024-04-19,23.385000228881836,23.559999465942383,23.164499282836914,23.482500076293945,53302
2024-04-22,23.600000381469727,23.825000762939453,23.440000534057617,23.825000762939453,22282
2024-04-23,23.899999618530273,24.084999084472656,23.68000030517578,23.957500457763672,16274
2024-04-24,24.145000457763672,24.2450008392334,23.9950008392334,24.0,20272
2024-04-25,24.020000457763672,24.06999969482422,23.61549949645996,23.799999237060547,12078
2024-04-26,23.905000686645508,24.15999984741211,23.774999618530273,24.104999542236328,11471
2024-04-29,24.280000686645508,24.280000686645508,24.024999618530273,24.09000015258789,19961
2024-04-30,24.049999237060547,24.209999084472656,23.954999923706055,23.99250030517578,26612
2024-05-01,23.9950008392334,24.479999542236328,23.899999618530273,23.97249984741211,65373
